,airportcode,airportcodecopy,airport,city,country,lat,long,currencycode,toeuro,fromeuro
172,AYQ,AYQ,Ayers Rock,Uluru,Australia,-25.186111,130.975556,AUD,0.7253,1.3791
173,KGC,KGC,Kingscote Airport,Kingscote,Australia,-35.713889,137.521389,AUD,0.7253,1.3791
174,HVB,HVB,Hervey Bay Airport,Hervey Bay,Australia,-25.318889000000002,152.880278,AUD,0.7253,1.3791
175,ARM,ARM,Armidale,Armidale,Australia,-30.528056,151.617222,AUD,0.7253,1.3791
176,BKQ,BKQ,Blackall,Blackall,Australia,-24.427778,145.42861100000002,AUD,0.7253,1.3791
177,BDB,BDB,Bundaberg,Bundaberg,Australia,-24.903889000000003,152.318611,AUD,0.7253,1.3791
178,HIS,HIS,Hayman Island Airport,Hayman Island,Australia,-20.066668,148.86667,AUD,0.7253,1.3791
179,THG,THG,Thangool,Biloela,Australia,-24.493889000000003,150.576111,AUD,0.7253,1.3791
180,BNK,BNK,Ballina Byron Gateway,Ballina Byron Bay,Australia,-28.833889000000003,153.5625,AUD,0.7253,1.3791
181,BME,BME,Broome,Broome,Australia,-17.8,122.2,AUD,0.7253,1.3791
182,NTL,NTL,Newcastle Airport,Newcastle,Australia,-32.78,151.83,AUD,0.7253,1.3791
183,GUL,GUL,Goulburn Airport,Goulburn,Australia,-34.8103,149.726,AUD,0.7253,1.3791
184,ALH,ALH,Albany Airport,Albany,Australia,-34.9433,117.809,AUD,0.7253,1.3791
185,GYL,GYL,Argyle Airport,Argyle,Australia,-16.6369,128.451,AUD,0.7253,1.3791
186,AUU,AUU,Aurukun Airport,Aurukun,Australia,-13.3539,141.721,AUD,0.7253,1.3791
187,BCI,BCI,Barcaldine Airport,Barcaldine,Australia,-23.5653,145.30700000000002,AUD,0.7253,1.3791
188,BDD,BDD,Badu Island Airport,Badu Island,Australia,-10.15,141.175,AUD,0.7253,1.3791
189,BVI,BVI,Birdsville Airport,Birdsville,Australia,-25.8975,139.34799999999998,AUD,0.7253,1.3791
190,BHQ,BHQ,Broken Hill Airport,Broken Hill,Australia,-32.0014,141.472,AUD,0.7253,1.3791
191,HTI,HTI,Hamilton Island Airport,Hamilton Island,Australia,-20.3581,148.952,AUD,0.7253,1.3791
192,BEU,BEU,Bedourie Airport,Bedourie,Australia,-24.3461,139.46,AUD,0.7253,1.3791
193,BRK,BRK,Bourke Airport,Bourke,Australia,-30.0392,145.952,AUD,0.7253,1.3791
194,BUC,BUC,Burketown Airport,Burketown,Australia,-17.7486,139.534,AUD,0.7253,1.3791
